fname,labels,singled
35688e71.wav,Bathtub_(filling_or_washing),True
60d25862.wav,Bathtub_(filling_or_washing),True
c0f6fce9.wav,Bathtub_(filling_or_washing),True
f3221561.wav,Bathtub_(filling_or_washing),True
b2af1dc9.wav,Bathtub_(filling_or_washing),True
710e1331.wav,Bathtub_(filling_or_washing),True
1820c8f4.wav,Bathtub_(filling_or_washing),True
d53f67e9.wav,Bathtub_(filling_or_washing),True
9ecd8922.wav,Bathtub_(filling_or_washing),True
70cd0102.wav,Bathtub_(filling_or_washing),True
c0f6fce9.wav,Bathtub_(filling_or_washing),True
bf0d57c0.wav,Bathtub_(filling_or_washing),True
86d60ec1.wav,Bathtub_(filling_or_washing),True
f38d44ba.wav,Bathtub_(filling_or_washing),True
5936ee5a.wav,Bathtub_(filling_or_washing),True
b3e8106f.wav,Bathtub_(filling_or_washing),True
795684f2.wav,Bathtub_(filling_or_washing),True
98bbd82a.wav,Bathtub_(filling_or_washing),True
3e2fd240.wav,Bathtub_(filling_or_washing),True
f290b5bf.wav,Bathtub_(filling_or_washing),True
56f8431e.wav,Bathtub_(filling_or_washing),True
d2de1b51.wav,Bathtub_(filling_or_washing),True
a0b648b7.wav,Bathtub_(filling_or_washing),True
675c5b6a.wav,Bathtub_(filling_or_washing),True
1de2d71e.wav,Bathtub_(filling_or_washing),True
1d414a74.wav,Bathtub_(filling_or_washing),True
a47bf887.wav,Bathtub_(filling_or_washing),True
541dfda4.wav,Bathtub_(filling_or_washing),True
e3ab5394.wav,Bathtub_(filling_or_washing),True
2c1f3729.wav,Bathtub_(filling_or_washing),True
56f8431e.wav,Bathtub_(filling_or_washing),True
95472d7b.wav,Bathtub_(filling_or_washing),True
69232b79.wav,Bathtub_(filling_or_washing),True
8f2f49c4.wav,Bathtub_(filling_or_washing),True
cb1844b6.wav,Bathtub_(filling_or_washing),True
e3619095.wav,Bathtub_(filling_or_washing),True
bbdaac8b.wav,Bathtub_(filling_or_washing),True
9210c745.wav,Bathtub_(filling_or_washing),True
7298ced1.wav,Bathtub_(filling_or_washing),True
f3221561.wav,Bathtub_(filling_or_washing),True
fd60adc0.wav,Bathtub_(filling_or_washing),True
f38d44ba.wav,Bathtub_(filling_or_washing),True
bdfeecb7.wav,Bathtub_(filling_or_washing),True
1eae37e5.wav,Bathtub_(filling_or_washing),True
30ebdc6a.wav,Bathtub_(filling_or_washing),True
1a32caec.wav,Bathtub_(filling_or_washing),True
70cd0102.wav,Bathtub_(filling_or_washing),True
30ebdc6a.wav,Bathtub_(filling_or_washing),True
1eae37e5.wav,Bathtub_(filling_or_washing),True
e1d0a1c8.wav,Bathtub_(filling_or_washing),True
0ca5c099.wav,Motorcycle,True
6466cc89.wav,Motorcycle,True
6add818d.wav,Motorcycle,True
013a1712.wav,Motorcycle,True
7d9c073d.wav,Motorcycle,True
ecaff81c.wav,Motorcycle,True
866c123e.wav,Motorcycle,True
afafdf9e.wav,Motorcycle,True
ec89f781.wav,Motorcycle,True
0acfe669.wav,Motorcycle,True
a576c187.wav,Motorcycle,True
9bdbfb21.wav,Motorcycle,True
1ffe1088.wav,Motorcycle,True
cc50fd64.wav,Motorcycle,True
2f98b077.wav,Motorcycle,True
6f7e9a79.wav,Motorcycle,True
afbb4d68.wav,Motorcycle,True
ae0fad41.wav,Motorcycle,True
2890332a.wav,Motorcycle,True
d703eae1.wav,Motorcycle,True
88e432cc.wav,Motorcycle,True
